episode,total_reward,fidelity,log_infidelity,avg_fidelity,control_pulse_params,time_step
0,2.7379919610913657,0.23144872412479628,0.11432715212418645,0.48763248274986415,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}]",10
1,7.8590453715383575,0.8736172847530433,0.898312318349283,0.9157448565020289,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 0.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': -2.0}]",10
2,8.680247153625096,0.08874124856541471,0.040358287830074585,0.39249416571027645,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}]",10
3,11.29713609392324,0.5518428180911396,0.34856963943196584,0.701228545394093,"[{'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",10
4,22.593634121673972,0.1958927193680461,0.09468600563174719,0.4639284795786974,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}]",3
5,47.470073448721706,0.6480906763823228,0.45356922665140204,0.7653937842548819,"[{'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}]",10
6,178.88426137446095,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
7,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
8,177.99869958931703,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
9,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
10,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
11,211.1108713770258,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
12,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
13,210.49139087048454,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
14,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
15,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
16,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
17,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
18,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
19,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
20,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
21,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
22,44.526166629777,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
23,220.39431794957432,0.6548234964541212,0.4619587747403495,0.7698823309694142,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
24,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
25,145.69352711167414,0.8091326245867907,0.719268298368307,0.8727550830578604,"[{'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': 0.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",10
26,210.1337000450455,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
27,187.52999100936987,0.6548234964541212,0.4619587747403495,0.7698823309694142,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",3
28,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
29,211.4764904796818,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
30,227.1151550389988,0.818311561862192,0.7406727084251109,0.8788743745747946,"[{'omega': 2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
31,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
32,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
33,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
34,211.0817026075696,0.023174382756499606,0.01018295954473579,0.3487829218376664,"[{'omega': -2.0, 'delta': 0.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",10
35,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
36,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
37,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
38,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
39,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
40,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
41,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
42,211.3676251173655,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
43,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
44,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
45,211.20178864285432,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
46,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
47,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
48,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
49,211.1696161055748,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
50,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
51,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
52,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
53,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
54,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
55,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
56,210.83367856641894,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
57,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
58,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
59,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
60,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
61,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
62,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
63,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
64,243.77841007735157,0.9999996952122957,6.5160025572260905,0.9999997968081971,"[{'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}, {'omega': -2.0, 'delta': -2.0}]",5
